S.no,Route_name,Route_link
1,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
3,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
4,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
5,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
6,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
7,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
8,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
9,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
10,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
11,Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
12,Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
13,Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
14,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool
15,Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
16,Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
17,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
18,Hyderabad to Vinukonda,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda
19,Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada
20,Bangalore to Rayachoti,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti
21,Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur
22,Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
23,Hyderabad to Eluru,https://www.redbus.in/bus-tickets/hyderabad-to-eluru
24,Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad
